chapter,section,symbol,offset,offset_expr,page,page_end,name
30,3.3.37,FWEIS80,0x7AD0,0x7AD0,1458,1459,Error Interrupt Status Register 80
30,3.3.38,FWEIE80,0x7AD4,0x7AD4,1459,1459,Error Interrupt Enable Register 80
30,3.3.39,FWEID80,0x7AD8,0x7AD8,1459,1460,Error Interrupt Disable Register 80
30,3.3.40,FWEIS81,0x7AE0,0x7AE0,1460,1460,Error Interrupt Status Register 81
30,3.3.41,FWEIE81,0x7AE4,0x7AE4,1460,1461,Error Interrupt Enable Register 81
30,3.3.42,FWEID81,0x7AE8,0x7AE8,1461,1461,Error Interrupt Disable Register 81
30,3.3.43,FWEIS82,0x7AF0,0x7AF0,1461,1461,Error Interrupt Status Register 82
30,3.3.44,FWEIE82,0x7AF4,0x7AF4,1461,1462,Error Interrupt Enable Register 82
30,3.3.45,FWEID82,0x7AF8,0x7AF8,1462,1462,Error Interrupt Disable Register 82
30,3.3.46,FWEIS83,0x7B00,0x7B00,1462,1463,Error Interrupt Status Register 83
30,3.3.47,FWEIE83,0x7B04,0x7B04,1463,1463,Error Interrupt Enable Register 83
30,3.3.48,FWEID83,0x7B08,0x7B08,1463,1463,Error Interrupt Disable Register 83
30,3.3.49,FWMIS0,0x7C00,0x7C00,1463,1464,Monitoring Interrupt Status Register 0
30,3.3.50,FWMIE0,0x7C04,0x7C04,1464,1466,Monitoring Interrupt Enable Register 0
30,3.3.51,FWMID0,0x7C08,0x7C08,1466,1466,Monitoring Interrupt Disable Register 0
31,3.1.1,RIPV,0x0000,0x0000,1592,1592,IP Version Register
31,3.1.2,RRC,0x0004,0x0004,1592,1593,Reset Configuration Register
31,3.1.3,RCEC,0x0008,0x0008,1593,1594,Clock Enable Configuration Register
31,3.1.4,RCDC,0x000C,0x000C,1594,1595,Clock Disable Configuration Register
31,3.2.1,CABPIBWMCi,0x0020,0x0020 + 0x04 * i,1595,1596,Buffer Pool IPV Based Watermark Configuration Register i (i = 0 to 7)
31,3.2.2,CABPWMLC,0x0040,0x0040,1596,1596,Buffer Pool Watermark Level Configuration Register
31,3.2.3,CABPPFLCi,0x0050,0x0050 + 0x0004 * i,1596,1597,Buffer Pointer Pause Frame Level i Configuration Register
31,3.2.4,CABPPWMLCi,0x0060,0x0060 + 0x0004 * i,1597,1597,Port i Buffer Pool Watermark Level Configuration Register (i = 0 to 2)
31,3.2.5,CABPPPFLCij,0x00A0,0x00A0 + 0x04 * (i * 2 + j),1597,1598,Port i Buffer Pointer Pause Frame Level j Configuration Register
31,3.2.6,CABPULCi,0x0100,0x0100 + 0x0004 * i,1598,1599,Port i Buffer Pointer Utilization Level Configuration Register (i = 0 to 2)
31,3.2.7,CABPIRM,0x0140,0x0140,1599,1600,Buffer Pool Initialization Register Monitoring Register
31,3.2.8,CABPPCM,0x0144,0x0144,1600,1600,Buffer Pool Pointer Count Monitoring Register
31,3.2.9,CABPLCM,0x0148,0x0148,1600,1601,Buffer Pool Pointer Least Count Monitoring Register
31,3.2.10,CABPCPMi,0x0180,0x0180 + 0x0004 * i,1601,1601,Port i Buffer Pointer Count Monitoring Register (i = 0 to 2)
31,3.2.11,CABPMCPMi,0x0200,0x0200 + 0x0004 * i,1601,1602,Port i Buffer Pointer Maximum Count Monitoring Register (i = 0 to 2)
31,3.2.12,CARDNM,0x0300,0x0300,1602,1603,Rejected Descriptor Number Monitoring Register
31,3.2.13,CARDMNM,0x0304,0x0304,1603,1603,Rejected Descriptor Maximum Number Monitoring Register
31,3.3.1,CARDCN,0x0310,0x0310,1603,1604,Rejected Descriptor Counter Register
31,3.4.1,CAEIS0,0x0400,0x0400,1604,1605,Error Interrupt Status Register 0
31,3.4.2,CAEIE0,0x0404,0x0404,1605,1606,Error Interrupt Enable Register 0
31,3.4.3,CAEID0,0x0408,0x0408,1606,1606,Error Interrupt Disable Register 0
31,3.4.4,CAEIS1,0x0410,0x0410,1606,1607,Error Interrupt Status Register 1
31,3.4.5,CAEIE1,0x0414,0x0414,1607,1608,Error Interrupt Enable Register 1
31,3.4.6,CAEID1,0x0418,0x0418,1608,1608,Error Interrupt Disable Register 1
